Study_ID,ES_ID,Outcome_Name,Hedges_g,SE_g,n_Treatment,n_Control,ES_Type,Conversion_Method,Hedges_g_Calc,g_Diff,g_Discrepancy
1,001_01,Pre-test,-0.1055,0.2158,43.0,43.0,Pre_Test_Remove,Calculated_from_MSD,-0.10552522735382185,2.5227353821849485e-05,False
1,001_02,Post-test,-0.0455,0.2157,43.0,43.0,Post_Only,Calculated_from_MSD,-0.045523416822368254,2.3416822368255152e-05,False
1,001_03,Learning Duration,-0.1026,0.2158,43.0,43.0,Post_Only_Assumed,Calculated_from_MSD,-0.10259134716272048,-8.652837279521375e-06,False
1,001_04,Course Satisfaction,0.0241,0.2157,43.0,43.0,Post_Only_Assumed,Calculated_from_MSD,0.024143116168435282,-4.3116168435282376e-05,False
2,002_01,programming performance,1.2205,0.2438,38.0,42.0,Post_Only_Assumed,Calculated_from_MSD,1.2204513500417051,4.8649958294788576e-05,False
2,002_02,self-efficacy,,,38.0,42.0,Post_Only_Assumed,Missing_ES,,,False
2,002_03,programming interest,,,38.0,42.0,Post_Only_Assumed,Missing_ES,,,False
3,003_01,Academic Writing Achievement Pre-Test,0.0364,0.2829,25.0,25.0,Pre_Test_Remove,Calculated_from_MSD,0.036401462613096125,-1.4626130961231665e-06,False
3,003_02,Academic Writing Achievement Post-Test,0.9469,0.2983,25.0,25.0,Post_Only,Calculated_from_MSD,0.9468930462231665,6.953776833462655e-06,False
4,004_01,Ease of Use - Arm 1,1.3497,0.3504,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,1.3496797057964898,2.029420351012945e-05,False
4,004_02,Ease of Use - Arm 2,1.0285,0.3365,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,1.0285377950530428,-3.779505304279951e-05,False
4,004_03,Satisfaction - Arm 1,1.4294,0.3543,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,1.4294002049956427,-2.0499564268305903e-07,False
4,004_04,Satisfaction - Arm 2,0.0,0.3162,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,0.0,0.0,False
4,004_05,Quality of Information - Arm 1,1.6494,0.3661,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,1.6494396022883884,-3.960228838839619e-05,False
4,004_06,Quality of Information - Arm 2,1.1431,0.3411,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,1.1430553258656952,4.467413430475631e-05,False
4,004_07,Ease of Understanding - Arm 1,1.1789,0.3426,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,1.1788517224627562,4.827753724390149e-05,False
4,004_08,Ease of Understanding - Arm 2,2.8339,0.4476,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,2.833912252269869,-1.2252269869339472e-05,False
4,004_09,Engagement - Arm 1,0.9822,0.3348,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,0.9821655760680649,3.44239319350903e-05,False
4,004_10,Engagement - Arm 2,1.3404,0.3499,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,1.3404480353786719,-4.803537867181795e-05,False
4,004_11,Task 1 Performance - Arm 1 vs Arm 2,0.8608,0.3305,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,0.8607756179969258,2.4382003074197023e-05,False
4,004_12,Task 2 Performance - Arm 2 vs Arm 1,-0.2124,0.3171,20.0,20.0,Post_Only_Assumed,Calculated_from_MSD,-0.2123714282537316,-2.857174626841319e-05,False
5,005_01,HOT tasks performance,0.6092,0.2834,23.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.6092145267539545,-1.452675395452463e-05,False
6,006_01,critical thinking gains,1.4002,0.1441,120.0,120.0,Change_Score,Calculated_from_MSD,1.4001601753437947,3.982465620522291e-05,False
6,006_02,logical coherence,1.3059,,120.0,120.0,Post_Only_Assumed,Direct_Reported,1.2635020204798173,0.04239797952018276,False
6,006_03,evidence use,1.1962,,120.0,120.0,Post_Only_Assumed,Direct_Reported,1.2232728654928404,-0.027072865492840492,False
6,006_04,originality,1.1165,,120.0,120.0,Post_Only_Assumed,Direct_Reported,1.1278018566811305,-0.011301856681130484,False
6,006_05,lexical sophistication,0.9669,,120.0,120.0,Post_Only_Assumed,Direct_Reported,1.1420913570409308,-0.1751913570409308,True
6,006_06,syntactic complexity,0.8772,,120.0,120.0,Post_Only_Assumed,Direct_Reported,1.0757328176421836,-0.19853281764218367,True
6,006_07,text cohesion,1.266,,120.0,120.0,Post_Only_Assumed,Direct_Reported,1.147162649588171,0.11883735041182897,True
6,006_08,cognitive offloading behavior,,,120.0,120.0,Post_Only_Assumed,Missing_ES,,,False
7,007_01,,,,,,Unknown,Missing_ES,,,False
8,008_01,Cognitive competency,3.2534,0.1487,210.0,210.0,Post_Only_Assumed,Calculated_from_MSD,3.2534353550934485,-3.535509344843035e-05,False
8,008_02,Technical proficiency,2.4499,0.1291,210.0,210.0,Post_Only_Assumed,Calculated_from_MSD,2.449881702257166,1.8297742833794928e-05,False
8,008_03,Application capability,3.0865,0.1444,210.0,210.0,Post_Only_Assumed,Calculated_from_MSD,3.086531414601815,-3.1414601814994114e-05,False
8,008_04,Innovation competency,2.3497,0.1269,210.0,210.0,Post_Only_Assumed,Calculated_from_MSD,2.3497033120119357,-3.3120119358187594e-06,False
8,008_05,Collaborative skills,2.4251,0.1286,210.0,210.0,Post_Only_Assumed,Calculated_from_MSD,2.4251318257585686,-3.182575856852665e-05,False
8,008_06,Overall AI literacy,3.9527,0.1677,210.0,210.0,Post_Only_Assumed,Calculated_from_MSD,3.952688822086955,1.1177913044946308e-05,False
10,010_01,SAT Score,-0.6809,0.1528,71.0,124.0,Post_Only_Assumed,Calculated_from_MSD,-0.6809440745682103,4.407456821031719e-05,False
10,010_02,SAT Score,-2.7877,0.2357,71.0,71.0,Post_Only_Assumed,Calculated_from_MSD,-2.787746707584098,4.670758409774933e-05,False
