Study_ID,ES_ID,Title,Year,Authors,Outcome_Name,Outcome_Dimension,Blooms_Level,n_Treatment,n_Control,M_Treatment,SD_Treatment,M_Control,SD_Control,Hedges_g,SE_g,Verification_Status,Verification_Confidence,Data_Tier
1,001_01,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025.0,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Pre-test,cognitive,,43.0,43.0,98.14,6.3,98.73,4.66,-0.1055,0.2158,NOT_CHECKED,0.0,3
1,001_02,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025.0,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Post-test,cognitive,,43.0,43.0,98.55,4.86,98.78,5.15,-0.0455,0.2157,NOT_CHECKED,0.0,3
1,001_03,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025.0,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Learning Duration,behavioral,,43.0,43.0,117.2,27.43,119.53,16.15,-0.1026,0.2158,NOT_CHECKED,0.0,3
1,001_04,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025.0,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Course Satisfaction,affective,,43.0,43.0,4.91,0.39,4.9,0.43,0.0241,0.2157,NOT_CHECKED,0.0,3
2,002_01,A Comparative Study on the Effectiveness of Generative AI Tools and Pair Programming in College Students' Programming Learning,2025.0,Hui He; Xing Li,programming performance,cognitive,apply,38.0,42.0,34.34,8.31,25.47,6.02,1.2205,0.2438,OCR_VERIFIED,100.0,1
2,002_02,A Comparative Study on the Effectiveness of Generative AI Tools and Pair Programming in College Students' Programming Learning,2025.0,Hui He; Xing Li,self-efficacy,affective,,38.0,42.0,3.63,,3.19,,,,OCR_VERIFIED,100.0,1
2,002_03,A Comparative Study on the Effectiveness of Generative AI Tools and Pair Programming in College Students' Programming Learning,2025.0,Hui He; Xing Li,programming interest,affective,,38.0,42.0,3.54,,3.22,,,,OCR_VERIFIED,100.0,1
3,003_01,A Mixed-Method Study on the Effectiveness of Using ChatGPT in Academic Writing and Students’ Perceived Experiences,2025.0,,Academic Writing Achievement Pre-Test,cognitive,create,25.0,25.0,57.15,22.988,56.35,20.185,0.0364,0.2829,NOT_CHECKED,0.0,3
3,003_02,A Mixed-Method Study on the Effectiveness of Using ChatGPT in Academic Writing and Students’ Perceived Experiences,2025.0,,Academic Writing Achievement Post-Test,cognitive,create,25.0,25.0,81.11,22.988,60.3,20.185,0.9469,0.2983,NOT_CHECKED,0.0,3
4,004_01,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Use - Arm 1,affective,,20.0,20.0,4.2,0.92,3.0,0.82,1.3497,0.3504,NOT_CHECKED,0.0,3
