Study_ID,ES_ID,Title,Year,Authors,Outcome_Name,Outcome_Dimension,Blooms_Level,n_Treatment,n_Control,M_Treatment,SD_Treatment,M_Control,SD_Control,Hedges_g,SE_g,Verification_Status,Verification_Confidence,Data_Tier,GenAI_Tool,Study_Design
1,001_01,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025.0,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Pre-test,cognitive,,43.0,43.0,98.14,6.3,98.73,4.66,-0.1055,0.2158,NOT_CHECKED,0.0,3,not_reported,not_reported
3,003_01,A Mixed-Method Study on the Effectiveness of Using ChatGPT in Academic Writing and Students’ Perceived Experiences,2025.0,,Academic Writing Achievement Pre-Test,cognitive,create,25.0,25.0,57.15,22.988,56.35,20.185,0.0364,0.2829,NOT_CHECKED,0.0,3,ChatGPT,quasi-experimental
26,026_01,"Integrating generative AI into STEM education: enhancing conceptual understanding, addressing misconceptions, and assessing student acceptance",2025.0,,Thermodynamics Knowledge - Pretest,cognitive,understand,60.0,60.0,12.22,3.15,12.35,2.64,-0.0444,0.1826,OCR_VERIFIED,100.0,1,ChatGPT,quasi-experimental
34,034_01,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025.0,Nataliya Kasimovskaya,Academic Performance - Pre-Training,cognitive,,75.0,75.0,78.0,6.0,75.0,5.0,0.5405,0.1663,MANUAL_VERIFIED,100.0,1,not_reported,not_reported
34,034_03,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025.0,Nataliya Kasimovskaya,Moral Behavior Level - Pre-Training,behavioral,,75.0,75.0,82.0,4.0,70.0,4.0,2.9848,0.2374,MANUAL_VERIFIED,100.0,1,not_reported,not_reported
34,034_05,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025.0,Nataliya Kasimovskaya,Self-Efficacy - Pre-Training,affective,,75.0,75.0,80.0,3.0,68.0,3.0,3.9797,0.2819,MANUAL_VERIFIED,100.0,1,not_reported,not_reported
50,050_01,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024.0,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,Baseline SDLS Score,metacognitive,,50.0,51.0,28.0,,27.0,,,,OCR_VERIFIED,100.0,1,ChatGPT,RCT
50,050_02,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024.0,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,Baseline CCTS Score,cognitive,analyze,50.0,51.0,24.0,,25.0,,,,OCR_VERIFIED,100.0,1,ChatGPT,RCT
50,050_03,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024.0,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,Baseline GFS Score,affective,,50.0,51.0,4.2,,3.9,,,,OCR_VERIFIED,100.0,1,ChatGPT,RCT
60,060_01,The Role of AI-Assisted Learning in Academic Writing: A Mixed-Methods Study on Chinese as a Second Language Students,2024.0,,Academic Writing Pre-test,cognitive,apply,25.0,25.0,61.44,11.06,64.06,8.42,-0.2624,0.2841,VERIFIED,75.0,1,ChatGPT,RCT
