study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,effect_source,extraction_method,effect_direction,flag,study_design,genai_tool,measure_type,measure_instrument,source,reliability,review_needed,extraction_status,mean_difference,standard_error,confidence_interval_lower,confidence_interval_upper,u_value,z_value,effect_size,sample_size_total,relative_effect,verification_status,verification_confidence,data_tier,verification_method
1,001_01,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025.0,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Pre-test,cognitive,,43.0,43.0,98.14,6.3,98.73,4.66,-0.1055,0.2158,-0.5285,0.3175,-0.1065,0.42,,0.676,,calculated_from_table,table_ocr,,,,,pre-test,,Semantic Scholar,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
1,001_02,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025.0,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Post-test,cognitive,,43.0,43.0,98.55,4.86,98.78,5.15,-0.0455,0.2157,-0.4683,0.3772,-0.0459,0.154,,0.879,,calculated_from_table,table_ocr,,,,,post-test,,Semantic Scholar,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
1,001_03,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025.0,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Learning Duration,behavioral,,43.0,43.0,117.2,27.43,119.53,16.15,-0.1026,0.2158,-0.5256,0.3204,-0.1035,0.368,,0.716,,calculated_from_table,table_ocr,,,,,,,Semantic Scholar,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
1,001_04,"A Comparative Analysis of On-Device AI-Driven, Self-Regulated Learning and Traditional Pedagogy in University Health Sciences Education",2025.0,Jiyong Chun; Jeongsoo Kim; Hyejin Kim; Geumgu Lee; Sanggoo Cho; Changshik Kim; Yeesook Chung; Seoyoon Heo,Course Satisfaction,affective,,43.0,43.0,4.91,0.39,4.9,0.43,0.0241,0.2157,-0.3986,0.4469,0.0244,-0.115,,0.909,,calculated_from_table,table_ocr,,,,,,,Semantic Scholar,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
2,002_01,A Comparative Study on the Effectiveness of Generative AI Tools and Pair Programming in College Students' Programming Learning,2025.0,Hui He; Xing Li,programming performance,cognitive,apply,38.0,42.0,34.34,8.31,25.47,6.02,1.2205,0.2438,0.7426,1.6983,1.2323,5.496,,< .001,,calculated_M_SD,,positive,,,,post-test,researcher-developed programming test,Semantic Scholar,0.82,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
2,002_02,A Comparative Study on the Effectiveness of Generative AI Tools and Pair Programming in College Students' Programming Learning,2025.0,Hui He; Xing Li,self-efficacy,affective,,38.0,42.0,3.63,,3.19,,,,,,,,,< .001,,insufficient_data,,positive,,,,post-test,modified Kong questionnaire,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
2,002_03,A Comparative Study on the Effectiveness of Generative AI Tools and Pair Programming in College Students' Programming Learning,2025.0,Hui He; Xing Li,programming interest,affective,,38.0,42.0,3.54,,3.22,,,,,,,,,< .001,,insufficient_data,,positive,,,,post-test,modified Mazer questionnaire,Semantic Scholar,0.93,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
3,003_01,A Mixed-Method Study on the Effectiveness of Using ChatGPT in Academic Writing and Students’ Perceived Experiences,2025.0,,Academic Writing Achievement Pre-Test,cognitive,create,25.0,25.0,57.15,22.988,56.35,20.185,0.0364,0.2829,-0.518,0.5908,0.037,,,0.0,,calculated_from_table,table_ocr,,,quasi-experimental,ChatGPT,pre-test,Academic Writing Test,Semantic Scholar,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
3,003_02,A Mixed-Method Study on the Effectiveness of Using ChatGPT in Academic Writing and Students’ Perceived Experiences,2025.0,,Academic Writing Achievement Post-Test,cognitive,create,25.0,25.0,81.11,22.988,60.3,20.185,0.9469,0.2983,0.3623,1.5315,0.962,,,0.067,,calculated_from_table,table_ocr,,,quasi-experimental,ChatGPT,post-test,Academic Writing Test,Semantic Scholar,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_01,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Use - Arm 1,affective,,20.0,20.0,4.2,0.92,3.0,0.82,1.3497,0.3504,0.6629,2.0364,1.377,,,0.04,,calculated_from_table,table_ocr,,,,,post-test,5-point Likert scale questionnaire,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
