Study_ID,ES_ID,has_n,has_M,has_SD,has_g,extraction_priority,extraction_status,notes
2,002_02,True,True,False,False,High,Pending,
2,002_03,True,True,False,False,High,Pending,
6,006_08,True,False,False,False,Medium,Pending,
7,007_01,False,False,False,False,Low,Pending,
10,010_03,False,False,False,False,Low,Pending,
10,010_04,False,False,False,False,Low,Pending,
10,010_05,False,False,False,False,Low,Pending,
11,011_02,True,False,False,False,Medium,Pending,
11,011_04,True,False,False,False,Medium,Pending,
12,012_01,True,False,False,False,Medium,Pending,
12,012_02,True,False,False,False,Medium,Pending,
12,012_03,True,False,False,False,Medium,Pending,
12,012_04,True,False,False,False,Medium,Pending,
12,012_05,True,False,False,False,Medium,Pending,
12,012_06,True,False,False,False,Medium,Pending,
12,012_07,True,False,False,False,Medium,Pending,
12,012_08,True,False,False,False,Medium,Pending,
12,012_10,False,False,False,False,Low,Pending,
13,013_03,True,False,False,False,Medium,Pending,
14,014_01,True,False,False,False,Medium,Pending,
14,014_08,True,False,False,False,Medium,Pending,
14,014_09,True,False,False,False,Medium,Pending,
14,014_10,True,False,False,False,Medium,Pending,
15,015_01,True,True,False,False,High,Pending,
15,015_02,True,True,False,False,High,Pending,
17,017_01,False,False,False,False,Low,Pending,
17,017_02,False,False,False,False,Low,Pending,
17,017_03,False,False,False,False,Low,Pending,
17,017_04,False,False,False,False,Low,Pending,
17,017_05,False,False,False,False,Low,Pending,
21,021_14,True,False,False,False,Medium,Pending,
22,022_01,False,True,True,False,Low,Pending,
22,022_02,False,True,True,False,Low,Pending,
22,022_03,False,True,True,False,Low,Pending,
22,022_04,False,True,True,False,Low,Pending,
22,022_05,False,True,True,False,Low,Pending,
22,022_06,False,True,True,False,Low,Pending,
22,022_07,False,True,True,False,Low,Pending,
22,022_08,False,True,True,False,Low,Pending,
22,022_09,False,True,True,False,Low,Pending,
22,022_10,False,True,True,False,Low,Pending,
22,022_11,False,True,True,False,Low,Pending,
24,024_01,False,True,False,False,Low,Pending,
24,024_02,False,True,False,False,Low,Pending,
24,024_03,False,True,False,False,Low,Pending,
24,024_04,False,True,False,False,Low,Pending,
24,024_05,False,True,False,False,Low,Pending,
24,024_06,False,True,False,False,Low,Pending,
24,024_07,False,True,False,False,Low,Pending,
24,024_08,False,True,False,False,Low,Pending,
24,024_09,False,True,False,False,Low,Pending,
24,024_10,False,True,False,False,Low,Pending,
24,024_11,False,True,False,False,Low,Pending,
24,024_12,False,True,False,False,Low,Pending,
26,026_03,True,True,False,False,High,Pending,
27,027_01,True,True,False,False,High,Pending,
27,027_02,True,True,False,False,High,Pending,
27,027_03,True,True,False,False,High,Pending,
27,027_04,True,True,False,False,High,Pending,
27,027_05,True,True,False,False,High,Pending,
27,027_06,True,True,False,False,High,Pending,
27,027_07,True,True,False,False,High,Pending,
27,027_08,True,True,False,False,High,Pending,
27,027_09,True,True,False,False,High,Pending,
27,027_10,True,True,False,False,High,Pending,
27,027_11,True,True,False,False,High,Pending,
27,027_12,True,True,False,False,High,Pending,
27,027_13,True,True,False,False,High,Pending,
27,027_14,True,True,False,False,High,Pending,
27,027_15,True,True,False,False,High,Pending,
27,027_16,True,True,False,False,High,Pending,
27,027_17,True,True,False,False,High,Pending,
27,027_18,True,True,False,False,High,Pending,
27,027_19,True,True,False,False,High,Pending,
28,028_01,False,True,True,False,Low,Pending,
28,028_02,False,True,True,False,Low,Pending,
28,028_03,False,True,True,False,Low,Pending,
28,028_04,False,True,True,False,Low,Pending,
29,029_01,False,False,False,False,Low,Pending,
30,030_01,False,False,False,False,Low,Pending,
30,030_02,False,False,False,False,Low,Pending,
30,030_03,False,False,False,False,Low,Pending,
30,030_04,False,False,False,False,Low,Pending,
31,031_04,True,False,False,False,Medium,Pending,
31,031_05,True,False,False,False,Medium,Pending,
31,031_06,True,False,False,False,Medium,Pending,
33,033_01,False,True,True,False,Low,Pending,
33,033_02,False,True,True,False,Low,Pending,
33,033_03,False,True,True,False,Low,Pending,
33,033_04,False,True,True,False,Low,Pending,
35,035_01,True,False,False,False,Medium,Pending,
37,037_09,True,False,False,False,Medium,Pending,
37,037_10,True,False,False,False,Medium,Pending,
37,037_11,True,False,False,False,Medium,Pending,
38,038_01,False,False,False,False,Low,Pending,
40,040_01,True,False,False,False,Medium,Pending,
40,040_02,True,False,False,False,Medium,Pending,
40,040_03,True,False,False,False,Medium,Pending,
40,040_04,True,False,False,False,Medium,Pending,
44,044_03,False,False,False,False,Low,Pending,
45,045_01,False,True,True,False,Low,Pending,
49,049_02,True,False,False,False,Medium,Pending,
50,050_04,True,True,False,False,High,Pending,
50,050_05,True,True,False,False,High,Pending,
50,050_06,True,True,False,False,High,Pending,
50,050_07,True,True,False,False,High,Pending,
50,050_08,True,True,False,False,High,Pending,
50,050_09,True,True,False,False,High,Pending,
50,050_10,True,True,False,False,High,Pending,
50,050_11,True,True,False,False,High,Pending,
52,052_01,False,True,False,False,Low,Pending,
52,052_02,False,True,False,False,Low,Pending,
52,052_03,False,True,True,False,Low,Pending,
52,052_04,False,True,True,False,Low,Pending,
52,052_05,False,True,True,False,Low,Pending,
52,052_06,False,True,True,False,Low,Pending,
55,055_05,False,False,False,False,Low,Pending,
55,055_06,False,False,False,False,Low,Pending,
55,055_07,False,False,False,False,Low,Pending,
55,055_08,False,False,False,False,Low,Pending,
57,057_01,False,False,False,False,Low,Pending,
58,058_01,False,False,False,False,Low,Pending,
59,059_01,True,True,False,False,High,Pending,
59,059_02,True,True,False,False,High,Pending,
59,059_03,True,True,False,False,High,Pending,
59,059_04,True,True,False,False,High,Pending,
59,059_05,True,True,False,False,High,Pending,
59,059_06,True,True,False,False,High,Pending,
59,059_07,True,True,False,False,High,Pending,
59,059_08,True,True,False,False,High,Pending,
59,059_09,True,True,False,False,High,Pending,
59,059_10,True,True,False,False,High,Pending,
59,059_11,True,True,False,False,High,Pending,
59,059_12,True,True,False,False,High,Pending,
62,062_01,False,False,False,False,Low,Pending,
64,064_02,True,False,False,False,Medium,Pending,
65,065_01,True,True,False,False,High,Pending,
66,066_01,False,False,False,False,Low,Pending,
66,066_02,False,False,False,False,Low,Pending,
66,066_03,False,False,False,False,Low,Pending,
66,066_04,False,False,False,False,Low,Pending,
66,066_05,False,False,False,False,Low,Pending,
67,067_01,False,False,False,False,Low,Pending,
67,067_02,False,False,False,False,Low,Pending,
67,067_03,False,False,False,False,Low,Pending,
67,067_04,False,False,False,False,Low,Pending,
67,067_05,False,False,False,False,Low,Pending,
67,067_06,False,False,False,False,Low,Pending,
67,067_07,False,True,True,False,Low,Pending,
67,067_08,False,True,True,False,Low,Pending,
67,067_09,False,True,False,False,Low,Pending,
67,067_10,False,True,True,False,Low,Pending,
67,067_11,False,True,True,False,Low,Pending,
67,067_12,False,True,False,False,Low,Pending,
68,068_01,False,False,False,False,Low,Pending,
