filename,n_total,cohens_d,hedges_g,eta_squared,partial_eta_squared,correlation_r,t_value,f_value,p_value,notes
20250711-273024-ln0ri4.pdf,198,1.07,,,,,,24.01,0.001,
jmir-2024-1-e57037.pdf,1051,,,,,,,,1.0,
s43031-025-00125-z.pdf,60,0.614,0.784,,,,,,0.001,
1-s2.0-S0360131524000459-main.pdf,77,0.53,,,,0.11,0.06,0.01,,
s41599-024-02751-w.pdf,100,,,,,,0.599,7.039,,
s44217-025-00700-6.pdf,117,,,0.789,,1.0,,40.462,1.0,
Can ChatGPT enhance business student creativity  Evidence from a randomised controlled trial.pdf,534,,,0.04,0.04,,,4.63,1.0,
qgae170.pdf,115,,,,,,,,0.57,
Using_a_Chatbot_to_Provide_Formative_Feedback_A_Longitudinal_Study_of_Intrinsic_Motivation_Cognitive_Load_and_Learning_Performance.pdf,,,,,,,2.66,0.778,0.001,
s41598-025-97652-6.pdf,316,0.98,,,,,-3.4,,0.0001,
Brit J Educational Tech - 2025 - Urban - ChatGPT can make mistakes  Check important info   Epistemic beliefs and.pdf,49,0.62,,,,0.16,,20.41,0.001,
s10639-024-12705-z.pdf,102,3.0,,,,,2.46,,,
Comp Applic In Engineering - 2025 - Liu - Who Is the Best Helper for University Students  Mathematical Creativity  A.pdf,110,1.36,,,,0.34,2.48,1.58,,
s10639-025-13733-z.pdf,79,0.528,1.2,0.111,0.111,,2.35,9.5,0.001,
1-s2.0-S2666920X23000772-main.pdf,125,2.98,5.0,,,0.069,1.121,0.368,,
Comparing the effects of ChatGPT and automated writing evaluation on students  writing and ideal L2 writing self.pdf,118,0.71,,0.1,,,,5.87,,
